Especie;Categoria_Ameaca;Legislacao
Didymopanax racemiferus;CR;Portaria MMA N. 148/2022
Didymopanax ruschianus;CR;Portaria MMA N. 148/2022
Didymopanax villosissimus;EN;Portaria MMA N. 148/2022
Hydrocotyle bradei;CR;Portaria MMA N. 148/2022
Hydrocotyle langsdorffii;EN;Portaria MMA N. 148/2022
Hydrocotyle ulei;EN;Portaria MMA N. 148/2022
Sciodaphyllum sprucei;EN;Portaria MMA N. 148/2022
Araucaria angustifolia;EN;Portaria MMA N. 148/2022
Acrocomia emensis;VU;Portaria MMA N. 148/2022
Allagoptera brevicalyx;VU;Portaria MMA N. 148/2022
Attalea barreirensis;VU;Portaria MMA N. 148/2022
Bactris timbuiensis;EN;Portaria MMA N. 148/2022
Butia capitata;VU;Portaria MMA N. 148/2022
Butia eriospatha;VU;Portaria MMA N. 148/2022
Butia exilata;CR;Portaria MMA N. 148/2022
Butia leptospatha;CR;Portaria MMA N. 148/2022
Butia microspadix;VU;Portaria MMA N. 148/2022
Butia purpurascens;EN;Portaria MMA N. 148/2022
Butia yatay;VU;Portaria MMA N. 148/2022
Euterpe edulis;VU;Portaria MMA N. 148/2022
Syagrus glaucescens;VU;Portaria MMA N. 148/2022
Syagrus macrocarpa;EN;Portaria MMA N. 148/2022
Syagrus mendanhensis;CR;Portaria MMA N. 148/2022
Syagrus picrophylla;VU;Portaria MMA N. 148/2022
Syagrus ruschiana;VU;Portaria MMA N. 148/2022
Syagrus weddelliana;EN;Portaria MMA N. 148/2022
Trithrinax acanthocoma;VU;Portaria MMA N. 148/2022
Aristolochia hypoglauca;EN;Portaria MMA N. 148/2022
Aristolochia odora;VU;Portaria MMA N. 148/2022
Aristolochia raja;EN;Portaria MMA N. 148/2022
Gongylanthus liebmannianus;EN;Portaria MMA N. 148/2022
Southbya organensis;CR;Portaria MMA N. 148/2022
Asplenium beckeri;CR;Portaria MMA N. 148/2022
Asplenium bradeanum;EN;Portaria MMA N. 148/2022
Asplenium cariocanum;EN;Portaria MMA N. 148/2022
Asplenium castaneum;EN;Portaria MMA N. 148/2022
Asplenium schwackei;CR;Portaria MMA N. 148/2022
Asplenium trindadense;CR;Portaria MMA N. 148/2022
Achyrocline eriodes;VU;Portaria MMA N. 148/2022
Acmella pusilla;EN;Portaria MMA N. 148/2022
Acritopappus buiquensis;CR;Portaria MMA N. 148/2022
Acritopappus catolesensis;EN;Portaria MMA N. 148/2022
Acritopappus connatifolius;EN;Portaria MMA N. 148/2022
Acritopappus harleyi;CR;Portaria MMA N. 148/2022
Acritopappus irwinii;VU;Portaria MMA N. 148/2022
Acritopappus pereirae;CR;Portaria MMA N. 148/2022
Acritopappus pintoi;EN;Portaria MMA N. 148/2022
Acritopappus prunifolius;VU;Portaria MMA N. 148/2022
Acritopappus subtomentosus;CR;Portaria MMA N. 148/2022
Acritopappus teixeirae;VU;Portaria MMA N. 148/2022
Agrianthus almasensis;EN;Portaria MMA N. 148/2022
Agrianthus giuliettiae;EN;Portaria MMA N. 148/2022
Aldama corumbensis;EN;Portaria MMA N. 148/2022
Aldama filifolia;EN;Portaria MMA N. 148/2022
Aldama goyazii;VU;Portaria MMA N. 148/2022
Aldama linearifolia;CR;Portaria MMA N. 148/2022
Aldama paranensis;CR;Portaria MMA N. 148/2022
Aldama vernonioides;EN;Portaria MMA N. 148/2022
Anteremanthus hatschbachii;EN;Portaria MMA N. 148/2022
Anteremanthus piranii;EN;Portaria MMA N. 148/2022
Aspilia almasensis;VU;Portaria MMA N. 148/2022
Aspilia belo-horizontinae;CR;Portaria MMA N. 148/2022
Aspilia caudata;EN;Portaria MMA N. 148/2022
Aspilia cordifolia;EN;Portaria MMA N. 148/2022
Aspilia cylindrocephala;VU;Portaria MMA N. 148/2022
Aspilia diamantinae;EN;Portaria MMA N. 148/2022
Aspilia diffusiflora;VU;Portaria MMA N. 148/2022
Aspilia diniz-cruzeanae;CR;Portaria MMA N. 148/2022
Aspilia eglerii;CR;Portaria MMA N. 148/2022
Aspilia espinhacensis;EN;Portaria MMA N. 148/2022
Aspilia grazielae;EN;Portaria MMA N. 148/2022
Aspilia jugata;CR;Portaria MMA N. 148/2022
Aspilia ovatifolia;CR;Portaria MMA N. 148/2022
Aspilia pereirae;EN;Portaria MMA N. 148/2022
Aspilia prostrata;EN;Portaria MMA N. 148/2022
Aspilia reticulata;VU;Portaria MMA N. 148/2022
Aspilia silphioides;EN;Portaria MMA N. 148/2022
Austrocritonia rosea;EN;Portaria MMA N. 148/2022
Austrocritonia taunayana;EN;Portaria MMA N. 148/2022
Austroeupatorium rosmarinaceum;VU;Portaria MMA N. 148/2022
Baccharis aracatubensis;EN;Portaria MMA N. 148/2022
Baccharis bifrons;EN;Portaria MMA N. 148/2022
Baccharis ciliata;CR;Portaria MMA N. 148/2022
Baccharis concinna;VU;Portaria MMA N. 148/2022
Baccharis elliptica;EN;Portaria MMA N. 148/2022
Baccharis friburgensis;EN;Portaria MMA N. 148/2022
Baccharis hypericifolia;EN;Portaria MMA N. 148/2022
Baccharis lychnophora;VU;Portaria MMA N. 148/2022
Baccharis penningtonii;VU;Portaria MMA N. 148/2022
Baccharis polyphylla;VU;Portaria MMA N. 148/2022
Baccharis pseudoalpestris;VU;Portaria MMA N. 148/2022
Baccharis pseudovaccinioides;CR;Portaria MMA N. 148/2022
Caatinganthus rubropappus;EN;Portaria MMA N. 148/2022
Calea abbreviata;CR;Portaria MMA N. 148/2022
Calea acaulis;VU;Portaria MMA N. 148/2022
Calea brittoniana;CR;Portaria MMA N. 148/2022
Calea gentianoides;VU;Portaria MMA N. 148/2022
Calea heteropappa;EN;Portaria MMA N. 148/2022
Calea kristiniae;EN;Portaria MMA N. 148/2022
Calea wedelioides;EN;Portaria MMA N. 148/2022
Campuloclinium parvulum;VU;Portaria MMA N. 148/2022
Catolesia mentiens;CR;Portaria MMA N. 148/2022
Chaptalia chapadensis;CR;Portaria MMA N. 148/2022
Chaptalia cordifolia;VU;Portaria MMA N. 148/2022
Chaptalia hermogenis;CR;Portaria MMA N. 148/2022
Chionolaena lychnophorioides;VU;Portaria MMA N. 148/2022
Chresta souzae;EN;Portaria MMA N. 148/2022
Chromolaena arrayana;EN;Portaria MMA N. 148/2022
Chromolaena costatipes;EN;Portaria MMA N. 148/2022
Chromolaena rhinanthacea;EN;Portaria MMA N. 148/2022
Chronopappus bifrons;EN;Portaria MMA N. 148/2022
Chrysolaena nicolackii;VU;Portaria MMA N. 148/2022
Cololobus longiangustatus;EN;Portaria MMA N. 148/2022
Cololobus rupestris;EN;Portaria MMA N. 148/2022
Dasyphyllum cryptocephalum;EN;Portaria MMA N. 148/2022
Dasyphyllum leptacanthum;EN;Portaria MMA N. 148/2022
